Periode;Data
1;4786
2;4845
3;4684
4;4615
5;4635
6;4604
7;4536
8;4511
9;4507
10;4588
11;4633
12;4565
13;4553
14;4472
15;4423
16;4444
17;4376
18;4404
19;4287
20;4347
21;4422
22;4295
23;4337
24;4509
25;4494
26;4359
27;4392
28;4436
29;4435
30;4410
31;4464
32;4396
33;4330
34;4729
35;4740
36;4587
37;4555
38;4584
39;4589
40;4502
41;4551
42;4458
43;4455
44;4390
45;4264
46;4210
47;4150
48;4216
49;4122
50;4205
51;4221
52;4266
53;4348
54;4170
55;4439
56;4356
57;4454
58;4390
59;4267
60;4293
61;4227
62;4263
63;4123
64;4060
65;4085
66;3942
67;3933
68;3933
69;3902
70;3934
71;3961
72;3975
73;3920
74;3918
75;3890
76;3833
77;3795
78;3799
79;3902
80;3786
81;3868
82;3817
83;3747
84;3580
85;3503
86;3476
87;3294
88;3278
89;3128
90;3149
91;3331
92;3360
93;3535
94;3411
95;3484
96;3519
97;3309
98;3188
99;3360
100;3305
101;3356
102;3278
103;3254
104;3283
105;3283
106;3237
107;3338
108;3231
109;3373
110;3490
111;3432
112;3449
113;3427
114;3356
115;3252
116;3325
117;3422
118;3269
119;3290
120;3161
121;3162
122;3108
123;3078
124;3130
125;3075
126;3105
127;3090
128;3085
129;3132
130;3157
131;3141
132;3166
133;3075
134;3081
135;3032
136;3014
137;2997
138;2955
139;2932
140;2958
141;2993
142;2947
143;2895
144;2913
145;2837
146;2790
147;2789
148;2787
149;2822
150;2757
151;2757
